"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed","log_tip","log_distance","dist_dur","is_weekday","is_summer","time_of_day","log_points","poin_deli","deliveries_f"
3,13.5,6,19.49,6,6,2,13.48,3,0.707106781186547,-0.130526192220052,7.74860804106398,3.24833333333333,1.29143467351066,1.38629436111989,3.01993696225081,18.1196217735048,1,0,"afternoon",1.94591014905531,12,"2"
8.98,22,6,3.7,21.4833333333333,1,1,2.58,6,-0.866025403784439,0.866025403784439,0.460760203910607,0.1722265321955,0.0214473329981664,2.30058309032337,1.54756250871601,33.2468012289156,1,1,"night",0.693147180559945,1,"1"
0.34,18,2,4.8,28.2833333333333,6,1,10.75,6,3.67394039744206e-16,0.866025403784439,7.78926004948072,0.169711255156158,0.27540106244481,0.29266961396282,1.75785791755237,49.7180814347729,1,1,"evening",1.94591014905531,6,"1"
1,22.5,6,3.26,14.0833333333333,1,1,6.04,9,-0.707106781186547,0.793353340291235,0.320854867410611,0.231479289940828,0.0227825941356647,0.693147180559945,1.44926916028128,20.4105406739613,1,1,"night",0.693147180559945,1,"1"
7.84,1.5,5,2.23,26.7,2,2,3.97,3,0.707106781186547,0.130526192220051,1.0210271332573,0.0835205992509363,0.038240716601397,2.17928687664955,1.17248213723457,31.3052730641629,1,0,"night",1.09861228866811,4,"2"
4,11.5,4,17.7,9,6,2,25.06,5,-0.258819045102522,-0.608761429008721,4.26055191529651,1.96666666666667,0.473394657255168,1.6094379124341,2.92852352386054,26.3567117147449,1,1,"afternoon",1.94591014905531,12,"2"
11.18,21,5,4.42,24.3166666666667,1,1,4.01,5,-1,0.965925826289068,2.30281988104638,0.181768334475668,0.0947012973699675,2.49979526228175,1.69009581545155,41.0974965790637,1,1,"night",0.693147180559945,1,"1"
5.7,22.5,5,1.45,23.9,1,1,2.27,8,-0.707106781186547,0.793353340291235,0.913984612986789,0.0606694560669456,0.0382420340161836,1.90210752639692,0.896088024556636,21.4165037869036,1,1,"night",0.693147180559945,1,"1"
7.71,11.5,0,3.91,30.0833333333333,6,2,4.36,9,-0.258819045102522,-0.608761429008721,1.53632429498543,0.129972299168975,0.0510689516338646,2.16447179086441,1.59127394180643,47.87082441601,1,1,"afternoon",1.94591014905531,12,"2"
5,9.5,4,2.62,15.0166666666667,1,1,3.39,8,-0.965925826289068,-0.923879532511287,1.26207865208555,0.174472807991121,0.0840451932576395,1.79175946922805,1.28647402583768,19.3185516213292,1,1,"afternoon",0.693147180559945,1,"1"
6,8.5,6,2.23,22.5666666666667,1,1,3.18,5,-0.965925826289068,-0.99144486137381,1.30682056989218,0.0988183161004431,0.0579093310144244,1.94591014905531,1.17248213723457,26.4590135635934,1,1,"afternoon",0.693147180559945,1,"1"
5.09,21,6,8.53,26.8833333333333,6,1,4.41,6,-1,0.965925826289068,5.70043991557362,0.317296962182269,0.212043642240804,1.80664808172181,2.25444471766611,60.6069888265905,1,1,"night",1.94591014905531,6,"1"
13.14,18,6,5.76,29.2333333333333,12,2,6.12,5,3.67394039744206e-16,0.866025403784439,1.74338292147725,0.197035347776511,0.0596368160140452,2.64900766046843,1.91102289005487,55.865569152604,1,1,"evening",2.56494935746154,24,"2"
3,11,0,1.39,13.0166666666667,3,1,2.16,9,-0.5,-0.707106781186547,0.325951827988552,0.106786171574904,0.0250411135458554,1.38629436111989,0.871293365943419,11.3413353133635,1,1,"afternoon",1.38629436111989,3,"1"
