"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed"
3,12.5,1,1.63,12.5,3,1,3.06,3,0.258819045102521,0.965925826289068,0.577172680837291,0.1304,0.0461738144669833
10.14,7.5,6,9.2,34.3833333333333,1,1,4.03,5,-0.707106781186547,-0.707106781186548,1.0374524824675,0.267571497818711,0.0301731211575619
4,18.5,6,2.96,14.2833333333333,6,1,3.09,5,-0.25881904510252,-0.965925826289068,0.840848016760168,0.207234539089848,0.0588691727019954
7.01,7,3,9.76,31.6333333333333,0,1,12.07,9,-0.5,-0.866025403784439,5.5031054921435,0.308535300316122,0.173965400173135
4.11,8,3,5.42,17.5833333333333,0,1,7.9,9,-0.866025403784438,-0.5,0.423169432154998,0.30824644549763,0.0240665079898577
7,11.5,3,6,31.9166666666667,0,1,3.57,9,-0.258819045102522,0.965925826289068,3.33119215424486,0.18798955613577,0.104371555746575
7.63,12.5,3,0.92,6.3,0,1,2.47,9,0.258819045102521,0.965925826289068,0.298433880037976,0.146031746031746,0.0473704571488851
16.77,19,3,12.19,58,0,3,15.53,9,-0.499999999999999,-0.866025403784439,5.33591873555877,0.210172413793103,0.0919985988889443
5.11,20,3,4.45,32.0833333333333,12,1,4.96,9,-0.866025403784439,-0.5,1.55826393143472,0.138701298701299,0.0485692653953678
2,20.5,3,9.64,37.5833333333333,0,1,15.5,9,-0.965925826289068,-0.258819045102523,4.16456580383583,0.25649667405765,0.110808846221796
5,21,3,4.6,25.9333333333333,2,2,9.66,9,-1,-4.28626379701574e-16,1.54124310746272,0.177377892030848,0.0594309681540895
14.89,22.5,3,4.42,23.4666666666667,2,2,8.4,9,-0.707106781186547,0.707106781186548,1.658699587818,0.188352272727273,0.0706832210717897
1.15,11,5,11.03,29.7333333333333,3,1,8.89,4,-0.5,0.866025403784438,6.26946821564154,0.370964125560538,0.21085655433772
5,16,5,5.59,28.25,1,1,7.03,4,0.866025403784439,-0.499999999999999,3.39796405419393,0.19787610619469,0.120281913422794
2,16.5,5,3.44,17.7166666666667,6,1,4.43,4,0.707106781186547,-0.707106781186548,3.37181314996486,0.194167450611477,0.190318710252015
14.11,17,5,7.88,31.05,6,1,13.91,4,0.5,-0.866025403784439,5.30472879503079,0.25378421900161,0.170844727698254
4.09,18,5,4.22,22.5666666666667,6,1,4.92,4,3.67394039744206e-16,-1,3.10331522920806,0.187001477104874,0.13751766156018
6,18.5,5,0.87,16.4333333333333,6,1,4.62,4,-0.25881904510252,-0.965925826289068,0.307550757852578,0.0529411764705882,0.0187150562587776
6.21,20,5,5.62,26.1166666666667,6,1,3.47,4,-0.866025403784439,-0.5,1.16709191567234,0.215188257817486,0.0446876291897513
3,19.5,1,6.58,32.0333333333333,12,2,9.94,8,-0.707106781186547,-0.707106781186548,2.71401591033334,0.205411030176899,0.0847247422580649
7.06,1,5,3.82,23.3166666666667,1,1,3.18,7,0.5,0.866025403784439,1.32004358688807,0.163831308077198,0.0566137349630339
7,12,5,10.92,28.9833333333333,6,2,6.7,7,-2.44929359829471e-16,1,7.39027300124019,0.376768257619321,0.25498354230846
5.01,12.5,5,1.39,10.4833333333333,3,1,3.04,7,0.258819045102521,0.965925826289068,0.247931957214737,0.132591414944356,0.0236501072064932
5.5,18.5,5,14.67,42.4333333333333,12,2,6.02,7,-0.25881904510252,-0.965925826289068,2.51351962060101,0.345718774548311,0.059234555080935
5.88,1.5,3,4.85,25.2833333333333,1,1,4.15,6,0.707106781186547,0.707106781186548,2.72426329674465,0.191825972313777,0.107749372316861
5,2.5,3,3.32,40.2166666666667,1,1,3.02,6,0.965925826289068,0.258819045102521,1.38023971637632,0.0825528387898881,0.0343200924088599
4,8.5,3,7.76,28.5833333333333,1,1,8.48,6,-0.965925826289068,-0.258819045102521,2.74323739342903,0.271486880466472,0.0959733198867299
4.3,10,3,12.54,11,3,1,5.73,6,-0.866025403784439,0.5,3.03697221158446,1.14,0.276088382871314
10.28,12,3,4.97,40.6,9,2,9.47,6,-2.44929359829471e-16,1,7.97531649220902,0.122413793103448,0.196436366803178
7.97,19,3,4.16,22.2,6,1,4.1,6,-0.499999999999999,-0.866025403784439,2.56257951419867,0.187387387387387,0.115431509648589
11.66,20,3,8.19,28.4833333333333,12,1,5.58,6,-0.866025403784439,-0.5,3.90674061411844,0.287536571094207,0.137158827880109
10,20,3,3.92,22.1833333333333,6,1,3.18,6,-0.866025403784439,-0.5,1.06089672885453,0.176709241172051,0.0478240448769884
5,22,3,7.16,28.0833333333333,1,1,3.32,6,-0.866025403784439,0.499999999999999,2.8139636313562,0.254955489614243,0.100200485389538
1,0.5,2,8.45,41.3666666666667,2,2,14.18,3,0.258819045102521,0.965925826289068,1.73144331212172,0.204270749395649,0.0418560027104364
7,1,2,5.45,21.7833333333333,2,2,8.07,3,0.5,0.866025403784439,0,0.250191277735272,0
3,2,2,8.73,20.8833333333333,1,1,8.6,3,0.866025403784439,0.5,4.9343725560543,0.418036711891461,0.2362828039611
8.76,9,2,2.99,10.2333333333333,1,1,2,3,-1,-1.83697019872103e-16,0.372605358964229,0.292182410423453,0.0364109471300549
